"Total Time (s)","Cycle Elapsed Time (s)","Total Cycles","Elapsed Cycles","Step","Total Cycle Count","Total Cycle Count(ElectroPuls (10.0.0.2 : 1) Waveform)","Position (mm)","Force (N)","Cycle Energy(Energy Calculation) (J)","Velocity(Velocity Calculation) (m/s)","Acceleration(Acceleration Calculation) (m/s²)",
52.041,0.164000000000001,94,94,2,93.25,0,-1.34231736095159,-25.445139049032,-0.00703508570140343,0.000882954274409,-0.0104258310134,
52.042,0.164999999999999,94,94,2,93.25,0,-1.34150050345634,-25.318324898513,-0.00705581895940099,0.000855275855266,-0.0168996816732,
52.043,0.165999999999997,94,94,2,93.25,0,-1.34077510469334,-25.1509678895163,-0.00707412414067221,0.000802661472848,-0.0313480358764,
52.044,0.167000000000002,94,94,2,93.25,0,-1.34020075345679,-25.142370482687,-0.00708856716121886,0.000707522124737,-0.0578910831434,
52.045,0.167999999999999,94,94,2,93.25,0,-1.3398377394819,-25.2276162592809,-0.00709770966577139,0.000556264315987,-0.0992173965948,
52.046,0.168999999999997,94,94,2,93.25,0,-1.33975212983112,-25.2892686842954,-0.00709987203219953,0.000343193856155,-0.1529660658829,
52.047,0.170000000000002,94,94,2,93.25,0,-1.33998719081153,-25.3133333287855,-0.0070939246835735,7.2629758656E-05,-0.2117747558075,
52.048,0.170999999999999,94,94,2,93.25,0,-1.34056824579896,-25.0692871646488,-0.00707928714712125,-0.000242657993159,-0.2667331024937,
52.049,0.171999999999997,94,94,2,93.25,0,-1.34157621930562,-24.5821154002603,-0.0070542634979347,-0.000605332341093,-0.3160866343559,
52.05,0.173000000000002,94,94,2,93.25,0,-1.34319736218603,-23.8829984911781,-0.00701497906075588,-0.001063848763016,-0.377210991295,
52.051,0.173999999999999,94,94,2,93.25,0,-1.34571828009452,-23.084269791626,-0.00695577874688524,-0.001707124576709,-0.4851916172573,
52.052,0.174999999999997,94,94,2,93.25,0,-1.34947750216583,-22.3964864329242,-0.00687029261558791,-0.002622476648912,-0.669470873715,
52.053,0.176000000000002,94,94,2,93.25,0,-1.35483538345094,-21.8668641424358,-0.00675171372674299,-0.003867328586604,-0.9325791542967,
52.054,0.177,94,94,2,93.25,0,-1.36216325310639,-21.3853532408392,-0.00659324042109688,-0.005469280032072,-1.2531318303781,
52.055,0.177999999999997,94,94,2,93.25,0,-1.37182004736934,-20.846795830451,-0.00638932683366988,-0.007435550526598,-1.6041173078526,
52.056,0.179000000000002,94,94,2,93.25,0,-1.38414782539512,-20.4446688355441,-0.00613481082828571,-0.009759412009549,-1.9642520763361,
52.057,0.18,94,94,2,93.25,0,-1.39949733057984,-20.2616586849422,-0.00582239983560839,-0.012433001044613,-2.3215024520574,
52.058,0.180999999999997,94,94,2,93.25,0,-1.4182274594095,-20.2180049727496,-0.00544330517797675,-0.01545717413052,-2.673845984683,
52.059,0.182000000000002,94,94,2,93.25,0,-1.44069368259248,-20.3811559696884,-0.00498725027259184,-0.018836770042174,-3.0256247183782,
52.06,0.183,94,94,2,93.25,0,-1.46723714433334,-20.7970038427078,-0.00444074481782764,-0.022568566444348,-3.3786292110859,
52.061,0.183999999999997,94,94,2,93.25,0,-1.49818075615224,-21.4417970468045,-0.00378723428860894,-0.026640335196908,-3.7281279601338,
52.062,0.184999999999995,94,94,2,93.25,0,-1.5338428245572,-22.3614492231238,-0.00300617710618667,-0.031039103771306,-4.0678769939956,
