"Total Time (s)","Cycle Elapsed Time (s)","Total Cycles","Elapsed Cycles","Step","Total Cycle Count","Total Cycle Count(ElectroPuls (10.0.0.2 : 1) Waveform)","Position (mm)","Force (N)","Cycle Energy(Energy Calculation) (J)","Velocity(Velocity Calculation) (m/s)","Acceleration(Acceleration Calculation) (m/s²)",
54.928,0.00100000000000477,100,100,2,99,0,12.6125916432405,-34.4653280839831,1.31169021102551E-05,-0.00046511158979,0.089450422118,
54.929,0.00200000000000244,100,100,2,99,0,12.6122629375992,-34.4523300871225,2.444371362742E-05,-0.00038908772229,0.086463799042,
54.93,0.00300000000000011,100,100,2,99,0,12.6119701712532,-34.3722739900656,3.45184775483176E-05,-0.00033358780722,0.074080896308,
54.931,0.00400000000000489,100,100,2,99,0,12.6117080589794,-34.3131722152473,4.35201267947605E-05,-0.00029435191293,0.056777894565,
54.932,0.00500000000000256,100,100,2,99,0,12.6114762204084,-34.2181596936803,5.14642298270473E-05,-0.00026222638462,0.04198199073,
54.933,0.00600000000000023,100,100,2,99,0,12.611278415575,-34.1376332595717,5.82247829470361E-05,-0.00023071056056,0.034075726829,
54.934,0.007000000000005,100,100,2,99,0,12.6111159862074,-34.1014922113607,6.37668019436433E-05,-0.00019740231494,0.032236461803,
54.935,0.00800000000000267,100,100,2,99,0,12.6109834587592,-34.110778747956,6.82868010528637E-05,-0.00016407143152,0.032777310492,
54.936,0.00900000000000034,100,100,2,99,0,12.610865708183,-34.1929869695312,7.23082049347568E-05,-0.00013706496242,0.031426767784,
54.937,0.00999999999999801,100,100,2,99,0,12.6107523519481,-34.2759454687644,7.61888951217315E-05,-0.00012086533541,0.025661740769,
54.938,0.0110000000000028,100,100,2,99,0,12.610651459039,-34.2867309014833,7.96476390547696E-05,-0.00011093553955,0.017560730292,
54.939,0.0120000000000005,100,100,2,99,0,12.6105787779008,-34.2094587641817,8.21368295760294E-05,-9.616837557E-05,0.013261955641,
54.94,0.0129999999999981,100,100,2,99,0,12.6105387739548,-34.0785525187463,8.35027245358333E-05,-7.134151181E-05,0.016333863478,
54.941,0.0140000000000029,100,100,2,99,0,12.6105241196425,-34.013537101695,8.40016459022763E-05,-4.220221355E-05,0.023102684176,
54.942,0.0150000000000006,100,100,2,99,0,12.6105244906303,-34.0825186825385,8.39890144987976E-05,-1.775161238E-05,0.026438958783,
54.943,0.0159999999999982,100,100,2,99,0,12.6105300789382,-34.3211967851887,8.3797883988268E-05,-2.5714062E-06,0.0230760918,
54.944,0.017000000000003,100,100,2,99,0,12.6105352084424,-34.4476253445468,8.36215090060932E-05,3.88547076E-06,0.015344325911,
54.945,0.0180000000000007,100,100,2,99,0,12.6105358349437,-34.4630609179052,8.35999226893591E-05,3.91624444E-06,0.007146044742,
54.946,0.0189999999999984,100,100,2,99,0,12.6105331675935,-34.4878388350002,8.36918807891607E-05,9.8924672E-07,0.001071273244,
54.947,0.0200000000000031,100,100,2,99,0,12.6105304027672,-34.5253492679162,8.37872855328214E-05,-1.70843758E-06,-0.001970872274,
54.948,0.0210000000000008,100,100,2,99,0,12.6105297055882,-34.5677364366733,8.3811370657827E-05,-2.11528928E-06,-0.002079228546,
54.949,0.0219999999999985,100,100,2,99,0,12.6105329992743,-34.5497034611625,8.36975450795308E-05,-1.2021366E-07,-0.000373523284,
54.95,0.0230000000000032,100,100,2,99,0,12.6105351735945,-34.6024167921382,8.36223656506263E-05,1.7606168E-06,0.001240223876,
54.951,0.0240000000000009,100,100,2,99,0,12.6105364943819,-34.5779334903194,8.35766793869652E-05,2.25407013E-06,0.001498890869,
54.952,0.0249999999999986,100,100,2,99,0,12.6105476247616,-34.4930174081269,8.31922864392709E-05,4.51972493E-06,0.00144132691,
54.953,0.0260000000000034,100,100,2,99,0,12.610571900979,-34.3725481748139,8.23563887166756E-05,1.213125332E-05,0.003337756436,
54.954,0.027000000000001,100,100,2,99,0,12.6105995611886,-34.2640742588684,8.14071370314196E-05,2.134766375E-05,0.006489230925,
54.955,0.0279999999999987,100,100,2,99,0,12.6106131093304,-34.2790971913997,8.09428207304563E-05,2.24113916E-05,0.006289141044,
54.956,0.0290000000000035,100,100,2,99,0,12.6106060350625,-34.4437878148953,8.11859027862738E-05,1.159503923E-05,-5.4491442E-05,
54.957,0.0300000000000011,100,100,2,99,0,12.6105930592319,-34.5950423399693,8.16338208693423E-05,-2.6580138E-06,-0.008283338502,
54.958,0.0309999999999988,100,100,2,99,0,12.610587051421,-34.5447866507442,8.18415103793768E-05,-9.11495588E-06,-0.010883209547,
54.959,0.0320000000000036,100,100,2,99,0,12.6105898126772,-34.5440736107803,8.17461243514117E-05,-5.46749668E-06,-0.005764454981,
54.96,0.0330000000000013,100,100,2,99,0,12.6106034418035,-34.6103800623883,8.12748669574148E-05,3.3908971E-06,0.00217941919,
54.961,0.0339999999999989,100,100,2,99,0,12.6106271730562,-34.5938691440889,8.0453715199269E-05,1.339940319E-05,0.007640147099,
54.962,0.0350000000000037,100,100,2,99,0,12.6106621376097,-34.4672049492185,7.92463703902513E-05,2.407060502E-05,0.009862281119,
54.963,0.0360000000000014,100,100,2,99,0,12.6107061477594,-34.3944265215838,7.77310650335039E-05,3.430824212E-05,0.010342323689,
54.964,0.036999999999999,100,100,2,99,0,12.6107518501534,-34.4685191563836,7.61574642922369E-05,4.180414413E-05,0.009545185992,
54.965,0.0380000000000038,100,100,2,99,0,12.6107930990937,-34.496629152259,7.47350946568304E-05,4.38586846E-05,0.006686014075,
54.966,0.0390000000000015,100,100,2,99,0,12.6108229236464,-34.5431218254807,7.3705554811454E-05,3.915766013E-05,0.00166027945,
54.967,0.0399999999999991,100,100,2,99,0,12.6108372843723,-34.6020736115319,7.32090672102004E-05,2.861272094E-05,-0.004427529404,
54.968,0.0410000000000039,100,100,2,99,0,12.6108379554053,-34.5949705217268,7.31858504536831E-05,1.489296607E-05,-0.009744209478,
54.969,0.0420000000000016,100,100,2,99,0,12.6108329849466,-34.4461985880758,7.33574335924914E-05,3.08549336E-06,-0.012193625518,
54.97,0.0429999999999993,100,100,2,99,0,12.6108306904232,-34.3441558338653,7.34363541283756E-05,-2.4752306E-06,-0.010507132733,
54.971,0.044000000000004,100,100,2,99,0,12.610833635316,-34.4470429987347,7.33350627797336E-05,-1.52547913E-06,-0.005481605956,
54.972,0.0450000000000017,100,100,2,99,0,12.6108413108618,-34.5940567971302,7.30700987219279E-05,2.79226384E-06,7.006291E-06,
54.973,0.0459999999999994,100,100,2,99,0,12.6108485857966,-34.689983045788,7.28180802838097E-05,6.1361666E-06,0.003015193457,
54.974,0.0470000000000042,100,100,2,99,0,12.6108559514133,-34.6261411168773,7.25628022877345E-05,7.42232267E-06,0.003018730816,
54.975,0.0480000000000018,100,100,2,99,0,12.6108672295243,-34.4637409312599,7.21732006070397E-05,8.51216042E-06,0.001844584581,
54.976,0.0489999999999995,100,100,2,99,0,12.6108805256488,-34.3700788891013,7.17155890868071E-05,1.070976676E-05,0.001481063823,
54.977,0.0500000000000043,100,100,2,99,0,12.6108891343014,-34.3569296558308,7.14197656179749E-05,1.128447888E-05,0.001378407497,
54.978,0.0510000000000019,100,100,2,99,0,12.6108846697256,-34.2970204471927,7.15730210032461E-05,6.09292565E-06,-0.000668299219,
54.979,0.0519999999999996,100,100,2,99,0,12.6108672026319,-34.2861638946048,7.21719954555056E-05,-4.44336265E-06,-0.005065094146,
54.98,0.0530000000000044,100,100,2,99,0,12.6108504370656,-34.3914323331312,7.27477048485525E-05,-1.335588011E-05,-0.008445736527,
54.981,0.054000000000002,100,100,2,99,0,12.6108476442366,-34.4615041312488,7.28438520809505E-05,-1.278420333E-05,-0.00655439044,
54.982,0.0549999999999997,100,100,2,99,0,12.6108588155511,-34.4399190717537,7.24589923493113E-05,-2.79540714E-06,0.000551554331,
54.983,0.0560000000000045,100,100,2,99,0,12.6108739481004,-34.4385902579319,7.1937838626468E-05,8.17044189E-06,0.007456776219,
54.984,0.0570000000000022,100,100,2,99,0,12.6108761144975,-34.4003595219015,7.18632723817336E-05,1.00543332E-05,0.007948145862,
54.985,0.0579999999999998,100,100,2,99,0,12.610860876983,-34.4056862468479,7.2387488941672E-05,8.3506928E-07,0.001277532057,
54.986,0.0590000000000046,100,100,2,99,0,12.6108388095073,-34.5226714004736,7.31480263738149E-05,-1.206532938E-05,-0.006992657773,
54.987,0.0600000000000023,100,100,2,99,0,12.6108238207931,-34.8220789206802,7.36677206987224E-05,-1.789485889E-05,-0.009674797493,
54.988,0.0609999999999999,100,100,2,99,0,12.6108290487247,-34.949592804862,7.34853399393387E-05,-1.104734891E-05,-0.004147678408,
54.989,0.0620000000000047,100,100,2,99,0,12.610848594282,-34.8301761216354,7.28033976997722E-05,3.45822557E-06,0.005341817483,
54.99,0.0630000000000024,100,100,2,99,0,12.610863177107,-34.7947304868372,7.22957337870866E-05,1.37614499E-05,0.010947450085,
54.991,0.0640000000000001,100,100,2,99,0,12.6108641090638,-34.8429295077034,7.22632841387849E-05,1.197638423E-05,0.007937442375,
54.992,0.0650000000000048,100,100,2,99,0,12.6108615535177,-34.8687914643136,7.23523598935572E-05,3.98096639E-06,-2.1684321E-05,
54.993,0.0660000000000025,100,100,2,99,0,12.6108762457016,-34.8012534890954,7.18405573394421E-05,3.66502377E-06,-0.003828469623,
54.994,0.0670000000000002,100,100,2,99,0,12.6109191304649,-34.6886392467693,7.03505285457595E-05,1.797563872E-05,0.001768182085,
54.995,0.0680000000000049,100,100,2,99,0,12.6109779432231,-34.5964708589293,6.83131043359708E-05,3.920538795E-05,0.011998387963,
54.996,0.0690000000000026,100,100,2,99,0,12.6110265316221,-34.5763258523447,6.66326066181E-05,5.096705197E-05,0.016313583383,
54.997,0.0700000000000003,100,100,2,99,0,12.6110527640382,-34.678886001665,6.57242408550474E-05,4.494891189E-05,0.009268148353,
54.998,0.0710000000000051,100,100,2,99,0,12.6110664046406,-34.760697581569,6.52506419811516E-05,2.916166686E-05,-0.003614930335,
54.999,0.0720000000000027,100,100,2,99,0,12.6110827050158,-34.7012808264568,6.46845138305707E-05,1.821607835E-05,-0.011404016589,
55,0.0730000000000004,100,100,2,99,0,12.6111064726717,-34.5289545065317,6.386179362039E-05,1.774262757E-05,-0.009256444147,
55.001,0.0739999999999981,100,100,2,99,0,12.6111441293872,-34.44706461677,6.25630884627526E-05,2.569418957E-05,-0.001087588265,
55.002,0.0750000000000028,100,100,2,99,0,12.6111963979039,-34.4318877628129,6.07629881272942E-05,3.787353798E-05,0.006692394089,
55.003,0.0760000000000005,100,100,2,99,0,12.6112474358353,-34.4519756524036,5.90051431856864E-05,4.751580075E-05,0.010149886795,
55.004,0.0769999999999982,100,100,2,99,0,12.611285594203,-34.476524034838,5.76900436755068E-05,4.754323788E-05,0.00751894077,
55.005,0.078000000000003,100,100,2,99,0,12.6113084108491,-34.514215672063,5.6902975032358E-05,3.741972033E-05,-0.000133401582,
55.006,0.0790000000000006,100,100,2,99,0,12.6113234151725,-34.5552205774957,5.63848049495164E-05,2.507546577E-05,-0.007744452249,
55.007,0.0799999999999983,100,100,2,99,0,12.6113441992268,-34.6296115765854,5.56658342958372E-05,1.908193948E-05,-0.009772814976,
55.008,0.0810000000000031,100,100,2,99,0,12.6113707032572,-34.5794646595404,5.47486745574588E-05,2.076612786E-05,-0.00559543037,
55.009,0.0820000000000007,100,100,2,99,0,12.611390779456,-34.4783658178435,5.40554651990988E-05,2.285968809E-05,-0.000496314466,
55.01,0.0829999999999984,100,100,2,99,0,12.6113978749412,-34.4552575212836,5.38109064507353E-05,1.81103342E-05,-8.2125561E-05,
55.011,0.0840000000000032,100,100,2,99,0,12.6113947147121,-34.5143487685535,5.39198863265256E-05,7.91298499E-06,-0.00433087825,
55.012,0.0850000000000009,100,100,2,99,0,12.6113923508188,-34.654329181968,5.40016400094601E-05,1.5538593E-07,-0.007831025569,
55.013,0.0859999999999985,100,100,2,99,0,12.6114046823542,-34.7496164246906,5.3573711397803E-05,1.80583457E-06,-0.005667109795,
55.014,0.0870000000000033,100,100,2,99,0,12.6114320924263,-34.7077726265582,5.26217953762398E-05,1.24464678E-05,0.001525089707,
55.015,0.088000000000001,100,100,2,99,0,12.6114638341252,-34.5495629705478,5.1522622626976E-05,2.418599913E-05,0.008273247283,
