phase,displacement_m,measured_force_n,simulated_force_n
4.620000000000000218e-01,9.547989702689115010e-03,8.652683705156955511e+02,8.757481933617809773e+02
4.640000000000000235e-01,9.865033373936902758e-03,8.956882436603021915e+02,9.163986450219063045e+02
4.660000000000000253e-01,1.018244599201787413e-02,9.265729039833405523e+02,9.563805786156167414e+02
4.680000000000000271e-01,1.049978087329221134e-02,9.580253148021786274e+02,9.954172216819474670e+02
4.700000000000000289e-01,1.081652005367860110e-02,9.898124724617742913e+02,1.033084057619369332e+03
4.720000000000000306e-01,1.113221280650233090e-02,1.021994014370161835e+03,1.069919887697484683e+03
4.740000000000000324e-01,1.144646461177880811e-02,1.054369048552762251e+03,1.106628354494357609e+03
4.760000000000000342e-01,1.175891849879680089e-02,1.087078297549390527e+03,1.143123237306850797e+03
4.780000000000000360e-01,1.206917335626433302e-02,1.120377086054031452e+03,1.178375170900520516e+03
4.799999999999999822e-01,1.237678289798796807e-02,1.154187530970448961e+03,1.212700146486414496e+03
4.819999999999999840e-01,1.268133311762293346e-02,1.188339884728870857e+03,1.246792387697347749e+03
4.839999999999999858e-01,1.298239603573087333e-02,1.223026320888091732e+03,1.281359462892692136e+03
4.859999999999999876e-01,1.327952968029176908e-02,1.258272385070745486e+03,1.316013955080194137e+03
4.879999999999999893e-01,1.357228916557358042e-02,1.294022521151774072e+03,1.350895097658346913e+03
4.899999999999999911e-01,1.386013145049613295e-02,1.330683471719432873e+03,1.386087475588038160e+03
4.919999999999999929e-01,1.414238925142789413e-02,1.368082810724322826e+03,1.421420014650561825e+03
4.939999999999999947e-01,1.441837559003363717e-02,1.405842305710430765e+03,1.456816997072404547e+03
4.959999999999999964e-01,1.468744701916052491e-02,1.443577084811244049e+03,1.491635644533309232e+03
4.979999999999999982e-01,1.494901631568526512e-02,1.481339819896322751e+03,1.525975883791076058e+03
5.000000000000000000e-01,1.520250092664783906e-02,1.519098862143880751e+03,1.559753051759811797e+03
5.020000000000000018e-01,1.544725971592604725e-02,1.556519488918616162e+03,1.593331621095787796e+03
5.040000000000000036e-01,1.568262600393492343e-02,1.593319746286483451e+03,1.626632045900450748e+03
5.060000000000000053e-01,1.590801705434999325e-02,1.629158096690476214e+03,1.658910161134749160e+03
5.080000000000000071e-01,1.612301646656625481e-02,1.663938641701045981e+03,1.690603403322225176e+03
5.100000000000000089e-01,1.632730982206657619e-02,1.697833926696854633e+03,1.721886328126878425e+03
5.120000000000000107e-01,1.652057619094664948e-02,1.730626946305256524e+03,1.752753984376860217e+03
5.140000000000000124e-01,1.670249704472308999e-02,1.762046173289902299e+03,1.784239018556654855e+03
5.160000000000000142e-01,1.687279805798512847e-02,1.792223315901488377e+03,1.816987587892613192e+03
5.180000000000000160e-01,1.703123471524195173e-02,1.820979374683442074e+03,1.850516850587987392e+03
5.200000000000000178e-01,1.717752500489981918e-02,1.847951904046617301e+03,1.885245410158377581e+03
5.220000000000000195e-01,1.731132744854827279e-02,1.872867635648214900e+03,1.921576909181922247e+03
5.240000000000000213e-01,1.743229644156235603e-02,1.895512528871082850e+03,1.960070898439873417e+03
5.260000000000000231e-01,1.754017938437659949e-02,1.915900139856393935e+03,2.001158945315121855e+03
5.280000000000000249e-01,1.763479929230163390e-02,1.933564391376946560e+03,2.045186132815327028e+03
5.300000000000000266e-01,1.771601050037991190e-02,1.948468235733349047e+03,2.092219775393638884e+03
5.320000000000000284e-01,1.778375705207987587e-02,1.960553738795883191e+03,2.141293408206229287e+03
5.340000000000000302e-01,1.783810714387196530e-02,1.969731354928528845e+03,2.190286201174876624e+03
5.360000000000000320e-01,1.787922199111187035e-02,1.976092879094190039e+03,2.234644726565020392e+03
5.380000000000000338e-01,1.790731336808230184e-02,1.979756478676042434e+03,2.268487832032856659e+03
5.400000000000000355e-01,1.792265518118940637e-02,1.980529675892820023e+03,2.285855957031575144e+03
5.420000000000000373e-01,1.792561894000362435e-02,1.978175029862947667e+03,2.282842167967666228e+03
5.440000000000000391e-01,1.791669442777903479e-02,1.972847134607761973e+03,2.259342773435182607e+03
5.460000000000000409e-01,1.789642088325589173e-02,1.965164269663394180e+03,2.219042353512453246e+03
5.480000000000000426e-01,1.786530077515045833e-02,1.955581690987521824e+03,2.167713349605792246e+03
5.500000000000000444e-01,1.782378045074433162e-02,1.943486976572959065e+03,2.111506103511949277e+03
5.520000000000000462e-01,1.777226326220013655e-02,1.929042450081477682e+03,2.054090830074747373e+03
