phase,displacement_m,measured_force_n,simulated_force_n
1.499999999999999944e-01,2.761087655550511621e-04,1.424743788644716247e+01,7.704764842987825268e+00
1.519999999999999962e-01,2.760889698760511245e-04,1.423221569968652389e+01,7.719916934967792521e+00
1.539999999999999980e-01,2.760793523395506399e-04,1.431806930692701130e+01,7.735122547150413475e+00
1.559999999999999998e-01,2.760738660587023444e-04,1.449695732001248771e+01,7.750333786011498027e+00
1.580000000000000016e-01,2.760614161871508486e-04,1.464080500091715820e+01,7.765067882538575716e+00
1.600000000000000033e-01,2.760360837866499928e-04,1.458951077406323193e+01,7.779199886322724744e+00
1.620000000000000051e-01,2.760078037161015812e-04,1.443968281009498256e+01,7.793114070893038203e+00
1.640000000000000069e-01,2.759891757473518148e-04,1.439156077054810012e+01,7.807129592896226988e+00
1.660000000000000087e-01,2.759840054511002432e-04,1.446769057631056299e+01,7.821366729737052381e+00
1.680000000000000104e-01,2.759864607318007843e-04,1.457466231214035801e+01,7.835663070679435904e+00
1.700000000000000122e-01,2.759864657854010092e-04,1.465041279366423410e+01,7.849792575836876729e+00
1.720000000000000140e-01,2.759773887436516395e-04,1.465681223122762233e+01,7.863346080780702074e+00
1.740000000000000158e-01,2.759581960922510282e-04,1.458109850440883193e+01,7.876460075379060122e+00
1.759999999999999898e-01,2.759304710545506948e-04,1.446207172281046738e+01,7.889083366394681995e+00
1.779999999999999916e-01,2.758996192893015034e-04,1.438956767441004203e+01,7.901514568329488064e+00
1.799999999999999933e-01,2.758721197592013392e-04,1.439551366062606874e+01,7.913800048828748324e+00
1.819999999999999951e-01,2.758565646969515220e-04,1.443889492917777417e+01,7.926408824921304053e+00
1.839999999999999969e-01,2.758554682245524265e-04,1.453273715789136489e+01,7.939236812592216808e+00
1.859999999999999987e-01,2.758621911103009607e-04,1.459125791060498400e+01,7.952150478363686048e+00
1.880000000000000004e-01,2.758663027578016759e-04,1.457049991222061536e+01,7.964849910736721661e+00
1.900000000000000022e-01,2.758581388318006840e-04,1.451596834831096672e+01,7.977003097534775655e+00
1.920000000000000040e-01,2.758354398433517812e-04,1.446066374878173022e+01,7.988534984589199972e+00
1.940000000000000058e-01,2.758070747401007022e-04,1.442840538116856308e+01,7.999740447998625825e+00
1.960000000000000075e-01,2.757866652770015977e-04,1.446127080865086967e+01,8.011040916443466386e+00
1.980000000000000093e-01,2.757794762683509599e-04,1.454255597244055664e+01,8.022622871399526900e+00
2.000000000000000111e-01,2.757763962375517049e-04,1.461261044555495303e+01,8.034177780151939174e+00
2.020000000000000129e-01,2.757643435600023443e-04,1.455567594816284682e+01,8.045332412720304305e+00
2.040000000000000147e-01,2.757439872702995899e-04,1.450810906429426339e+01,8.056035537720275030e+00
2.060000000000000164e-01,2.757269002791513674e-04,1.461702417045872338e+01,8.066697845459527727e+00
2.080000000000000182e-01,2.757154548847999651e-04,1.474614618596270432e+01,8.077415161133359334e+00
2.099999999999999922e-01,2.757006047750501141e-04,1.476458850996305117e+01,8.087840652466349312e+00
2.119999999999999940e-01,2.756765477857499010e-04,1.464396203810704478e+01,8.097894668579611377e+00
2.139999999999999958e-01,2.756459874833012730e-04,1.459467227157859170e+01,8.107635345459486942e+00
